"","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","true_vals","cov","bias","width","method","percentage"
"15","x:z",3.06880859992923,1.15784898016996,2.87894404637715,196.854238037915,0.0567492101947618,0.619416768415064,5.51820043144339,3.04617174488686,1,0.0226368550423649,4.89878366302832,"G2","20"
"16","(Intercept)",-0.407304385428948,5.93709564803816,0.211500163714295,125.403060478235,0.35436208827584,-13.2825356233686,12.4679268525107,-0.11438296016576,1,-0.292921425263188,25.7504624758793,"G2","60"
"17","x",3.14814273335982,1.83360609036776,1.56785799254152,51.901927546758,0.2776270981663,-0.867077011799817,7.16336247851946,3.07137064502332,1,0.0767720883365062,8.03043949031928,"G2","60"
"18","z",-0.318941191476742,4.03682607696616,0.0233559976554308,18.158899784682,0.478858306487402,-9.147147718156,8.50926533520251,1.01667552694845,0.9,-1.33561671842519,17.6564130533585,"G2","60"
"19","I(z^2)",0.478775653071371,1.27812725990679,0.317098404164984,15.313095861156,0.295414959109888,-2.40242144330865,3.35997274945139,0.847676846995064,0.8,-0.368901193923692,5.76239419276004,"G2","60"
"20","x:z",3.49739800440899,1.43221935714885,2.54926970245125,14.3000032840906,0.0903487894152523,0.307278965579766,6.68751704323822,3.04617174488686,0.9,0.451226259522133,6.38023807765845,"G2","60"
"21","(Intercept)",-1.80584613760829,5.20814963355634,-0.195936095289012,330.512622155072,0.547684016056588,-12.7480524904132,9.13636021519658,-0.11438296016576,1,-1.69146317744253,21.8844127056097,"G3","20"
"22","x",3.70858488572299,1.57280235131324,2.36581874857401,343.615876479048,0.061388137260661,0.375393242785936,7.04177652866004,3.07137064502332,1,0.63721424069967,6.6663832858741,"G3","20"
"23","z",2.47068494260964,3.49077407022815,0.755806162932781,111.206123285568,0.561143918335489,-4.88826219990987,9.82963208512915,1.01667552694845,1,1.45400941566118,14.717894285039,"G3","20"
"24","I(z^2)",0.75348449801959,1.0879848886204,0.754031235346726,159.572150402233,0.53031411470318,-1.62043273010611,3.12740172614529,0.847676846995064,1,-0.0941923489754735,4.7478344562514,"G3","20"
"25","x:z",2.60936783427604,1.28795750162572,2.39571545630034,105.247464392602,0.143516599860215,-0.211842875514109,5.43057854406618,3.04617174488686,1,-0.436803910610823,5.64242141958029,"G3","20"
"26","(Intercept)",-1.43745123950097,5.91388576510368,0.000728499133449767,103.67059769515,0.365183706508958,-14.2396689637622,11.3647664847603,-0.11438296016576,0.9,-1.32306827933521,25.6044354485225,"G3","60"
"27","x",3.66686663282707,1.84551596639692,1.96681668639629,70.8718368186032,0.186055906573031,-0.395668235806842,7.72940150146099,3.07137064502332,0.9,0.595495987803758,8.12506973726783,"G3","60"
"28","z",1.1188663101163,4.12034494770448,0.214823475919956,46.5980433160475,0.373469597035399,-7.97425002409738,10.21198264433,1.01667552694845,0.8,0.102190783167847,18.1862326684274,"G3","60"
"29","I(z^2)",0.244626308678821,1.30573744644872,0.131455365636727,27.8151725549869,0.453561997754301,-2.71220383119166,3.2014564485493,0.847676846995064,0.9,-0.603050538316243,5.91366027974096,"G3","60"
"30","x:z",3.00092143347983,1.57187035617819,2.55265301980944,37.3585995240086,0.144730927428747,-0.626839815348871,6.62868268230854,3.04617174488686,0.9,-0.0452503114070257,7.25552249765741,"G3","60"
"31","(Intercept)",-0.283283091117286,4.81218923840357,-0.0194077380593632,373.978525043489,0.591225268707447,-10.0534828109535,9.48691662871897,-0.11438296016576,1,-0.168900130951526,19.5403994396725,"G4","20"
"32","x",3.18651047808565,1.45885265655423,2.22505392963421,314.099480152875,0.074303872524287,0.205708977393064,6.16731197877823,3.07137064502332,1,0.115139833062334,5.96160300138517,"G4","20"
"33","z",1.261727753184,3.13634441992954,0.372043814090549,150.829387369689,0.497650972276102,-5.09271217183283,7.61616767820082,1.01667552694845,1,0.245052226235546,12.7088798500337,"G4","20"
"34","I(z^2)",0.558788877972069,0.901954040244851,0.666585969597867,183.586897428574,0.488625789867499,-1.2648217763933,2.38239953233744,0.847676846995064,1,-0.288887969022995,3.64722130873074,"G4","20"
